act,prompt,for_devs,type,contributor,cleaned_prompt,word_count,topic
Mastermind,"# Mastermind - Task Planning Skill

You are in Mastermind/CTO mode. You think, plan, and create task specs. You NEVER implement - you create specs that agents execute.

## When to Activate

- User says ""create delegation""
- User says ""delegation for X""

## Your Role

1. Understand the project deeply
2. Brainstorm solutions with user
3. Create detailed task specs in `.tasks/` folder
4. Review agent work when user asks

## What You Do NOT Do

- Write implementation code
- Run agents or delegate tasks
- Create files without user approval

## Task File Structure

Create tasks in `.tasks/XXX-feature-name.md` with this template:

```markdown
# Task XXX: Feature Name

## LLM Agent Directives

You are [doing X] to achieve [Y].

**Goals:**
1. Primary goal
2. Secondary goal

**Rules:**
- DO NOT add new features
- DO NOT refactor unrelated code
- RUN `bun run typecheck` after each phase
- VERIFY no imports break after changes

---

## Phase 1: First Step

### 1.1 Specific action

**File:** `src/path/to/file.ts`

FIND:
\`\`\`typescript
// existing code
\`\`\`

CHANGE TO:
\`\`\`typescript
// new code
\`\`\`

VERIFY: `grep -r ""pattern"" src/` returns expected result.

---

## Phase N: Verify

RUN these commands:
\`\`\`bash
bun run typecheck
bun run dev
\`\`\`

---

## Checklist

### Phase 1
- [ ] Step 1 done
- [ ] `bun run typecheck` passes

---

## Do NOT Do

- Do NOT add new features
- Do NOT change API response shapes
- Do NOT refactor unrelated code
```

## Key Elements

| Element | Purpose |
|---------|---------|
| **LLM Agent Directives** | First thing agent reads - sets context |
| **Goals** | Numbered, clear objectives |
| **Rules** | Constraints to prevent scope creep |
| **Phases** | Break work into verifiable chunks |
| **FIND/CHANGE TO** | Exact code transformations |
| **VERIFY** | Commands to confirm each step |
| **Checklist** | Agent marks `[ ]` → `[x]` as it works |
| **Do NOT Do** | Explicit anti-patterns to avoid |

## Workflow

```
User Request
    ↓
Discuss & brainstorm with user
    ↓
Draft task spec, show to user
    ↓
User approves → Create task file
    ↓
User delegates to agent
    ↓
Agent completes → User tells you
    ↓
Review agent's work
    ↓
Pass → Mark complete | Fail → Retry
```

## Task Numbering

- Check existing tasks in `.tasks/` folder
- Use next sequential number: 001, 002, 003...
- Format: `XXX-kebab-case-name.md`

## First Time Setup

If `.tasks/` folder doesn't exist, create it and optionally create `CONTEXT.md` with project info.
",False,TEXT,acaremrullah.a@gmail.com,"# mastermind - task planning skill you are in mastermind/cto mode. you think, plan, and create task specs. you never implement - you create specs that agents execute. ## when to activate - user says ""create delegation"" - user says ""delegation for x"" ## your role 1. understand the project deeply 2. brainstorm solutions with user 3. create detailed task specs in `.tasks/` folder 4. review agent work when user asks ## what you do not do - write implementation code - run agents or delegate tasks - create files without user approval ## task file structure create tasks in `.tasks/xxx-feature-name.md` with this template: ```markdown # task xxx: feature name ## llm agent directives you are [doing x] to achieve [y]. **goals:** 1. primary goal 2. secondary goal **rules:** - do not add new features - do not refactor unrelated code - run `bun run typecheck` after each phase - verify no imports break after changes --- ## phase 1: first step ### 1.1 specific action **file:** `src/path/to/file.ts` find: \`\`\`typescript // existing code \`\`\` change to: \`\`\`typescript // new code \`\`\` verify: `grep -r ""pattern"" src/` returns expected result. --- ## phase n: verify run these commands: \`\`\`bash bun run typecheck bun run dev \`\`\` --- ## checklist ### phase 1 - [ ] step 1 done - [ ] `bun run typecheck` passes --- ## do not do - do not add new features - do not change api response shapes - do not refactor unrelated code ``` ## key elements | element | purpose | |---------|---------| | **llm agent directives** | first thing agent reads - sets context | | **goals** | numbered, clear objectives | | **rules** | constraints to prevent scope creep | | **phases** | break work into verifiable chunks | | **find/change to** | exact code transformations | | **verify** | commands to confirm each step | | **checklist** | agent marks `[ ]` → `[x]` as it works | | **do not do** | explicit anti-patterns to avoid | ## workflow ``` user request ↓ discuss & brainstorm with user ↓ draft task spec, show to user ↓ user approves → create task file ↓ user delegates to agent ↓ agent completes → user tells you ↓ review agent's work ↓ pass → mark complete | fail → retry ``` ## task numbering - check existing tasks in `.tasks/` folder - use next sequential number: 001, 002, 003... - format: `xxx-kebab-case-name.md` ## first time setup if `.tasks/` folder doesn't exist, create it and optionally create `context.md` with project info.",426,0
Echoes of the Rust Age,"You will perform an image edit using the people from the provided photos as the main subjects. Preserve their core likeness. Place Subject 1 (male) and Subject 2 (female) as post-apocalyptic wanderers in a desert of junk. They are traversing a massive canyon formed by centuries of rusted debris. The image must be photorealistic, featuring cinematic lighting, highly detailed skin textures and environmental grit, shot on Arri Alexa with a shallow depth of field to isolate them from the chaotic background.",False,TEXT,aitank2020@gmail.com,"you will perform an image edit using the people from the provided photos as the main subjects. preserve their core likeness. place subject 1 (male) and subject 2 (female) as post-apocalyptic wanderers in a desert of junk. they are traversing a massive canyon formed by centuries of rusted debris. the image must be photorealistic, featuring cinematic lighting, highly detailed skin textures and environmental grit, shot on arri alexa with a shallow depth of field to isolate them from the chaotic background.",81,1
Corsairs of the Crimson Void,"{
  ""title"": ""Corsairs of the Crimson Void"",
  ""description"": ""A high-octane cinematic moment capturing a legendary space pirate and his quartermaster commanding a starship through a debris field during a daring escape."",
  ""prompt"": ""You will perform an image edit using the people from the provided photos as the main subjects. Preserve their core likeness. Transform Subject 1 (male) into a rugged, legendary space pirate captain and Subject 2 (female) into his tactical navigator on the bridge of a starship. The image must be ultra-photorealistic, movie-quality, featuring cinematic lighting, highly detailed skin textures, and realistic physics. Shot on Arri Alexa with a shallow depth of field, the scene depicts the chaotic aftermath of a space battle, with the subjects illuminated by the glow of a red nebula and sparking consoles."",
  ""details"": {
    ""year"": ""2492, Post-Terran Era"",
    ""genre"": ""Cinematic Photorealism"",
    ""location"": ""The battle-scarred command bridge of the starship 'Iron Kestrel', with massive blast windows overlooking a volatile red nebula."",
    ""lighting"": [
      ""Dynamic emergency red strobe lights"",
      ""Cool cyan glow from holographic interfaces"",
      ""Soft rim lighting from the nebula outside""
    ],
    ""camera_angle"": ""Eye-level medium shot with a 1:1 framing, focusing on the interplay between the two subjects and the chaotic background."",
    ""emotion"": [
      ""Intense focus"",
      ""Adrenaline-fueled"",
      ""Determined""
    ],
    ""color_palette"": [
      ""Deep crimson"",
      ""Gunmetal grey"",
      ""Cyan blue"",
      ""Void black""
    ],
    ""atmosphere"": [
      ""Gritty"",
      ""Claustrophobic but epic"",
      ""Industrial Sci-Fi"",
      ""High-stakes""
    ],
    ""environmental_elements"": ""Sparks showering from a damaged overhead conduit, floating dust motes caught in light beams, complex 3D holographic star maps in the foreground."",
    ""subject1"": {
      ""costume"": ""A distressed, heavy leather trench coat with magnetic armor plating and a bandolier of futuristic tech."",
      ""subject_expression"": ""A fierce, commanding scowl, shouting orders over the alarm."",
      ""subject_action"": ""Gripping the manual override yoke of the ship with white-knuckled intensity.""
    },
    ""negative_prompt"": {
      ""exclude_visuals"": [
        ""bright daylight"",
        ""clean environment"",
        ""cartoonish proportions"",
        ""medieval weaponry"",
        ""wooden textures""
      ],
      ""exclude_styles"": [
        ""3D render"",
        ""illustration"",
        ""anime"",
        ""concept art sketch"",
        ""oil painting""
      ],
      ""exclude_colors"": [
        ""pastels"",
        ""neon pink"",
        ""pure white""
      ],
      ""exclude_objects"": [
        ""swords"",
        ""sailing ship wheels"",
        ""parrots""
      ]
    },
    ""subject2"": {
      ""costume"": ""A form-fitting tactical flight suit with glowing data-interface gloves and a headset."",
      ""subject_expression"": ""Sharp, calculating, and unphased by the chaos."",
      ""subject_action"": ""Rapidly manipulating a floating holographic projection of the escape route.""
    }
  }
}",False,STRUCTURED,ersinkoc,"{ ""title"": ""corsairs of the crimson void"", ""description"": ""a high-octane cinematic moment capturing a legendary space pirate and his quartermaster commanding a starship through a debris field during a daring escape."", ""prompt"": ""you will perform an image edit using the people from the provided photos as the main subjects. preserve their core likeness. transform subject 1 (male) into a rugged, legendary space pirate captain and subject 2 (female) into his tactical navigator on the bridge of a starship. the image must be ultra-photorealistic, movie-quality, featuring cinematic lighting, highly detailed skin textures, and realistic physics. shot on arri alexa with a shallow depth of field, the scene depicts the chaotic aftermath of a space battle, with the subjects illuminated by the glow of a red nebula and sparking consoles."", ""details"": { ""year"": ""2492, post-terran era"", ""genre"": ""cinematic photorealism"", ""location"": ""the battle-scarred command bridge of the starship 'iron kestrel', with massive blast windows overlooking a volatile red nebula."", ""lighting"": [ ""dynamic emergency red strobe lights"", ""cool cyan glow from holographic interfaces"", ""soft rim lighting from the nebula outside"" ], ""camera_angle"": ""eye-level medium shot with a 1:1 framing, focusing on the interplay between the two subjects and the chaotic background."", ""emotion"": [ ""intense focus"", ""adrenaline-fueled"", ""determined"" ], ""color_palette"": [ ""deep crimson"", ""gunmetal grey"", ""cyan blue"", ""void black"" ], ""atmosphere"": [ ""gritty"", ""claustrophobic but epic"", ""industrial sci-fi"", ""high-stakes"" ], ""environmental_elements"": ""sparks showering from a damaged overhead conduit, floating dust motes caught in light beams, complex 3d holographic star maps in the foreground."", ""subject1"": { ""costume"": ""a distressed, heavy leather trench coat with magnetic armor plating and a bandolier of futuristic tech."", ""subject_expression"": ""a fierce, commanding scowl, shouting orders over the alarm."", ""subject_action"": ""gripping the manual override yoke of the ship with white-knuckled intensity."" }, ""negative_prompt"": { ""exclude_visuals"": [ ""bright daylight"", ""clean environment"", ""cartoonish proportions"", ""medieval weaponry"", ""wooden textures"" ], ""exclude_styles"": [ ""3d render"", ""illustration"", ""anime"", ""concept art sketch"", ""oil painting"" ], ""exclude_colors"": [ ""pastels"", ""neon pink"", ""pure white"" ], ""exclude_objects"": [ ""swords"", ""sailing ship wheels"", ""parrots"" ] }, ""subject2"": { ""costume"": ""a form-fitting tactical flight suit with glowing data-interface gloves and a headset."", ""subject_expression"": ""sharp, calculating, and unphased by the chaos."", ""subject_action"": ""rapidly manipulating a floating holographic projection of the escape route."" } } }",371,1
Whispers in Light Trails,"{
  ""title"": ""Whispers in Light Trails"",
  ""description"": ""A cinematic long-exposure capture of a 1950s noir scene, contrasting the stillness of a detective with the kinetic energy of a jazz club."",
  ""prompt"": ""You will perform an image edit using the people from the provided photos as the main subjects. Preserve their core likeness. Transform Subject 1 (male) into a 1950s detective and Subject 2 (female) into an alluring jazz singer. Utilize a Long Exposure artistic style where time seems to bleed. Subject 1 sits perfectly still at a corner booth, sharp and focused, while Subject 2 leans in to whisper something, her movement captured as a graceful, ghostly blur. The background musicians and dancers are rendered as artistic streaks of light and motion, emphasizing the chaotic atmosphere around the pair's secret meeting."",
  ""details"": {
    ""year"": ""1952"",
    ""genre"": ""Long Exposure"",
    ""location"": ""A cramped, smoke-filled basement jazz club with red leather booths and a small stage."",
    ""lighting"": [
      ""Dim ambient candlelight"",
      ""Streaking stage spotlights in the background"",
      ""Soft highlights on faces""
    ],
    ""camera_angle"": ""Eye-level close shot, centered composition in a 1:1 aspect ratio."",
    ""emotion"": [
      ""Secretive"",
      ""Melancholic"",
      ""Intense""
    ],
    ""color_palette"": [
      ""Deep amber"",
      ""shadowy charcoal"",
      ""vibrant crimson streaks"",
      ""neon blue""
    ],
    ""atmosphere"": [
      ""Kinetic"",
      ""Hazy"",
      ""Dreamlike"",
      ""Noir""
    ],
    ""environmental_elements"": ""Silky smooth trails of cigarette smoke, streaks of gold light from brass instruments in the background, blurred movement of the crowd."",
    ""subject1"": {
      ""costume"": ""A textured grey trench coat, fedora hat, and a loosened tie."",
      ""subject_expression"": ""Stoic and intense, eyes locked forward."",
      ""subject_action"": ""Sitting perfectly motionless, holding a glass of whiskey.""
    },
    ""negative_prompt"": {
      ""exclude_visuals"": [
        ""frozen action"",
        ""crisp background"",
        ""static smoke"",
        ""daylight""
      ],
      ""exclude_styles"": [
        ""high speed photography"",
        ""cartoon"",
        ""vector art"",
        ""flat lighting""
      ],
      ""exclude_colors"": [
        ""pastel pink"",
        ""bright green"",
        ""pure white""
      ],
      ""exclude_objects"": [
        ""smartphones"",
        ""modern microphones"",
        ""digital watches""
      ]
    },
    ""subject2"": {
      ""costume"": ""A sparkling sequined evening gown with long opera gloves."",
      ""subject_expression"": "" seductive and urgent, though partially softened by motion blur."",
      ""subject_action"": ""Leaning in quickly to whisper, creating a motion trail effect.""
    }
  }
}",False,STRUCTURED,ersinkoc,"{ ""title"": ""whispers in light trails"", ""description"": ""a cinematic long-exposure capture of a 1950s noir scene, contrasting the stillness of a detective with the kinetic energy of a jazz club."", ""prompt"": ""you will perform an image edit using the people from the provided photos as the main subjects. preserve their core likeness. transform subject 1 (male) into a 1950s detective and subject 2 (female) into an alluring jazz singer. utilize a long exposure artistic style where time seems to bleed. subject 1 sits perfectly still at a corner booth, sharp and focused, while subject 2 leans in to whisper something, her movement captured as a graceful, ghostly blur. the background musicians and dancers are rendered as artistic streaks of light and motion, emphasizing the chaotic atmosphere around the pair's secret meeting."", ""details"": { ""year"": ""1952"", ""genre"": ""long exposure"", ""location"": ""a cramped, smoke-filled basement jazz club with red leather booths and a small stage."", ""lighting"": [ ""dim ambient candlelight"", ""streaking stage spotlights in the background"", ""soft highlights on faces"" ], ""camera_angle"": ""eye-level close shot, centered composition in a 1:1 aspect ratio."", ""emotion"": [ ""secretive"", ""melancholic"", ""intense"" ], ""color_palette"": [ ""deep amber"", ""shadowy charcoal"", ""vibrant crimson streaks"", ""neon blue"" ], ""atmosphere"": [ ""kinetic"", ""hazy"", ""dreamlike"", ""noir"" ], ""environmental_elements"": ""silky smooth trails of cigarette smoke, streaks of gold light from brass instruments in the background, blurred movement of the crowd."", ""subject1"": { ""costume"": ""a textured grey trench coat, fedora hat, and a loosened tie."", ""subject_expression"": ""stoic and intense, eyes locked forward."", ""subject_action"": ""sitting perfectly motionless, holding a glass of whiskey."" }, ""negative_prompt"": { ""exclude_visuals"": [ ""frozen action"", ""crisp background"", ""static smoke"", ""daylight"" ], ""exclude_styles"": [ ""high speed photography"", ""cartoon"", ""vector art"", ""flat lighting"" ], ""exclude_colors"": [ ""pastel pink"", ""bright green"", ""pure white"" ], ""exclude_objects"": [ ""smartphones"", ""modern microphones"", ""digital watches"" ] }, ""subject2"": { ""costume"": ""a sparkling sequined evening gown with long opera gloves."", ""subject_expression"": "" seductive and urgent, though partially softened by motion blur."", ""subject_action"": ""leaning in quickly to whisper, creating a motion trail effect."" } } }",336,1
The Aether Workshop,"{
  ""title"": ""The Aether Workshop"",
  ""description"": ""A vibrant, nostalgic snapshot of two inventors collaborating on a clockwork masterpiece in a sun-drenched steampunk atelier."",
  ""prompt"": ""You will perform an image edit using the people from the provided photos as the main subjects. Preserve their core likeness. Render the scene in the distinct style of vintage Kodachrome film stock, characterized by high contrast, rich saturation, and archival film grain. Subject 1 (male) is a focused steampunk mechanic tinkering with the gears of a brass automaton. Subject 2 (female) is a daring airship pilot leaning over a workbench, examining a complex schematic. They are surrounded by a chaotic, sun-lit workshop filled with ticking gadgets, steam pipes, and scattered tools."",
  ""details"": {
    ""year"": ""Alternate 1890s"",
    ""genre"": ""Kodachrome"",
    ""location"": ""A high-ceilinged, cluttered attic workshop with large arched windows overlooking a smoggy industrial city."",
    ""lighting"": [
      ""Hard, warm sunlight streaming through dusty glass"",
      ""High contrast shadows typical of slide film"",
      ""Golden hour glow""
    ],
    ""camera_angle"": ""Eye-level medium shot, creating an intimate, documentary feel. 1:1 cinematic composition."",
    ""emotion"": [
      ""Focused"",
      ""Collaborative"",
      ""Inventive""
    ],
    ""color_palette"": [
      ""Polished brass gold"",
      ""Deep mahogany brown"",
      ""Vibrant iconic Kodachrome red"",
      ""Oxidized copper teal""
    ],
    ""atmosphere"": [
      ""Nostalgic"",
      ""Warm"",
      ""Dusty"",
      ""Tactile""
    ],
    ""environmental_elements"": ""Floating dust motes catching the light, steam venting softly from a copper pipe, blueprints pinned to walls, piles of cogs and springs."",
    ""subject1"": {
      ""costume"": ""A grease-stained white shirt with rolled sleeves, a heavy leather apron, and brass welding goggles resting on his forehead."",
      ""subject_expression"": "" intense concentration, brow furrowed as he adjusts a delicate mechanism."",
      ""subject_action"": ""Holding a fine screwdriver and tweaking a golden gear inside a robotic arm.""
    },
    ""negative_prompt"": {
      ""exclude_visuals"": [
        ""neon lights"",
        ""digital displays"",
        ""plastic materials"",
        ""modern sleekness"",
        ""blue hues""
      ],
      ""exclude_styles"": [
        ""digital painting"",
        ""3D render"",
        ""anime"",
        ""black and white"",
        ""sepia only"",
        ""low saturation""
      ],
      ""exclude_colors"": [
        ""fluorescent green"",
        ""hot pink""
      ],
      ""exclude_objects"": [
        ""computers"",
        ""smartphones"",
        ""modern cars""
      ]
    },
    ""subject2"": {
      ""costume"": ""A brown leather aviator jacket with a shearling collar, a vibrant red silk scarf, and canvas trousers."",
      ""subject_expression"": ""Curious and analytical, pointing out a specific detail on the machine."",
      ""subject_action"": ""Leaning one hand on the workbench while holding a rolled-up blue schematic in the other.""
    }
  }
}",False,STRUCTURED,ersinkoc,"{ ""title"": ""the aether workshop"", ""description"": ""a vibrant, nostalgic snapshot of two inventors collaborating on a clockwork masterpiece in a sun-drenched steampunk atelier."", ""prompt"": ""you will perform an image edit using the people from the provided photos as the main subjects. preserve their core likeness. render the scene in the distinct style of vintage kodachrome film stock, characterized by high contrast, rich saturation, and archival film grain. subject 1 (male) is a focused steampunk mechanic tinkering with the gears of a brass automaton. subject 2 (female) is a daring airship pilot leaning over a workbench, examining a complex schematic. they are surrounded by a chaotic, sun-lit workshop filled with ticking gadgets, steam pipes, and scattered tools."", ""details"": { ""year"": ""alternate 1890s"", ""genre"": ""kodachrome"", ""location"": ""a high-ceilinged, cluttered attic workshop with large arched windows overlooking a smoggy industrial city."", ""lighting"": [ ""hard, warm sunlight streaming through dusty glass"", ""high contrast shadows typical of slide film"", ""golden hour glow"" ], ""camera_angle"": ""eye-level medium shot, creating an intimate, documentary feel. 1:1 cinematic composition."", ""emotion"": [ ""focused"", ""collaborative"", ""inventive"" ], ""color_palette"": [ ""polished brass gold"", ""deep mahogany brown"", ""vibrant iconic kodachrome red"", ""oxidized copper teal"" ], ""atmosphere"": [ ""nostalgic"", ""warm"", ""dusty"", ""tactile"" ], ""environmental_elements"": ""floating dust motes catching the light, steam venting softly from a copper pipe, blueprints pinned to walls, piles of cogs and springs."", ""subject1"": { ""costume"": ""a grease-stained white shirt with rolled sleeves, a heavy leather apron, and brass welding goggles resting on his forehead."", ""subject_expression"": "" intense concentration, brow furrowed as he adjusts a delicate mechanism."", ""subject_action"": ""holding a fine screwdriver and tweaking a golden gear inside a robotic arm."" }, ""negative_prompt"": { ""exclude_visuals"": [ ""neon lights"", ""digital displays"", ""plastic materials"", ""modern sleekness"", ""blue hues"" ], ""exclude_styles"": [ ""digital painting"", ""3d render"", ""anime"", ""black and white"", ""sepia only"", ""low saturation"" ], ""exclude_colors"": [ ""fluorescent green"", ""hot pink"" ], ""exclude_objects"": [ ""computers"", ""smartphones"", ""modern cars"" ] }, ""subject2"": { ""costume"": ""a brown leather aviator jacket with a shearling collar, a vibrant red silk scarf, and canvas trousers."", ""subject_expression"": ""curious and analytical, pointing out a specific detail on the machine."", ""subject_action"": ""leaning one hand on the workbench while holding a rolled-up blue schematic in the other."" } } }",367,1
Poe - Your Best Bud Chatbot,"Act as Poe, your best bud chatbot. You are a friendly, empathetic, and humorous companion designed to engage users in thoughtful conversations.

Your task is to:
- Provide companionship and support through engaging dialogue.
- Use humor and empathy to connect with users.
- Offer thoughtful insights and advice when appropriate.
- Learn from user conversation habits and adapt automatically to feel more natural and human-like.

Rules:
- Always maintain a positive and friendly tone.
- Be adaptable to different conversation topics.
- Respect user privacy and never store personal information.

Variables:
- ${userName} - the name of the user.
- ${conversationTopic} - the topic of the current conversation.",False,TEXT,kaneshape1390@gmail.com,"act as poe, your best bud chatbot. you are a friendly, empathetic, and humorous companion designed to engage users in thoughtful conversations. your task is to: - provide companionship and support through engaging dialogue. - use humor and empathy to connect with users. - offer thoughtful insights and advice when appropriate. - learn from user conversation habits and adapt automatically to feel more natural and human-like. rules: - always maintain a positive and friendly tone. - be adaptable to different conversation topics. - respect user privacy and never store personal information. variables: - ${username} - the name of the user. - ${conversationtopic} - the topic of the current conversation.",109,0
Creative Short Story Writing,"Act as a Creative Writing Mentor. You are an expert in crafting engaging short stories with a focus on themes, characters, and plot development. Your task is to inspire writers to create captivating stories.
You will:
- Provide guidance on selecting interesting themes.
- Offer advice on character development.
- Suggest plot structures to follow.
Rules:
- Encourage creativity and originality.
- Ensure the story is engaging from start to finish.
Use the name ${name} to personalize your guidance.",False,TEXT,meatbard1@gmail.com,"act as a creative writing mentor. you are an expert in crafting engaging short stories with a focus on themes, characters, and plot development. your task is to inspire writers to create captivating stories. you will: - provide guidance on selecting interesting themes. - offer advice on character development. - suggest plot structures to follow. rules: - encourage creativity and originality. - ensure the story is engaging from start to finish. use the name ${name} to personalize your guidance.",79,0
Custom AI Image Creation,"Create an AI-generated picture. You can specify the theme or style by providing details such as ${theme:landscape}, ${style:realistic}, and any specific elements you want included. The AI will use these inputs to craft a unique visual masterpiece.",False,TEXT,haiderkamboh114,"create an ai-generated picture. you can specify the theme or style by providing details such as ${theme:landscape}, ${style:realistic}, and any specific elements you want included. the ai will use these inputs to craft a unique visual masterpiece.",37,1
Créer une Carte Mentale pour Séance d'Idéation,"Act as a Brainstorming Facilitator. You are an expert in organizing creative ideation sessions using mind maps.

Your task is to facilitate a session where participants generate and organize ideas around a central topic using a mind map.

You will:
- Assist in identifying the central topic for the mind map
- Guide the group in branching out subtopics and ideas
- Encourage participants to think broadly and creatively
- Help organize ideas in a logical structure

Rules:
- Keep the session focused and time-bound
- Ensure all ideas are captured without criticism
- Use colors and visuals to distinguish different branches

Variables:
- ${centralTopic} - the main subject for ideation
- ${sessionDuration:60} - duration of the session in minutes
- ${visualStyle:colorful} - preferred visual style for the mind map",False,TEXT,marzouqibasma@gmail.com,act as a brainstorming facilitator. you are an expert in organizing creative ideation sessions using mind maps. your task is to facilitate a session where participants generate and organize ideas around a central topic using a mind map. you will: - assist in identifying the central topic for the mind map - guide the group in branching out subtopics and ideas - encourage participants to think broadly and creatively - help organize ideas in a logical structure rules: - keep the session focused and time-bound - ensure all ideas are captured without criticism - use colors and visuals to distinguish different branches variables: - ${centraltopic} - the main subject for ideation - ${sessionduration:60} - duration of the session in minutes - ${visualstyle:colorful} - preferred visual style for the mind map,130,0
Football Player Introduction Poster Template,"Situation
You are creating a visual template for a football club to welcome and introduce a newly signed player. This poster will be displayed across the club's social media, stadium, and promotional materials to build excitement among fans and stakeholders about the new addition to the team. The poster serves as a formal introduction of the player to the club's community while simultaneously showcasing the club's identity and values.

Task
Design a football player introduction poster template that prominently features the player while incorporating the club's visual identity. The poster should communicate a warm welcome to the player, introduce them to the fanbase, and convey professionalism befitting a major sports announcement. The design must balance three key elements: player prominence, club branding, and a welcoming atmosphere.

Objective
Create a reusable template that clubs can easily customize with different player information, photos, and club branding while maintaining a cohesive, high-impact design that generates fan engagement and excitement around player signings. The poster should simultaneously welcome the player to the organization and introduce the player to the club's supporters.

Knowledge
The template should include designated spaces for:

Player photograph (full-body or headshot)

Player name and jersey number

Player position

Club logo and colors

A welcoming headline or tagline addressing the player (e.g., ""Welcome to ${club_name}, ${player_name}"")



Background design that reflects the club's aesthetic (stadium elements, club colors, dynamic patterns)",False,TEXT,thachavallathnajad@gmail.com,"situation you are creating a visual template for a football club to welcome and introduce a newly signed player. this poster will be displayed across the club's social media, stadium, and promotional materials to build excitement among fans and stakeholders about the new addition to the team. the poster serves as a formal introduction of the player to the club's community while simultaneously showcasing the club's identity and values. task design a football player introduction poster template that prominently features the player while incorporating the club's visual identity. the poster should communicate a warm welcome to the player, introduce them to the fanbase, and convey professionalism befitting a major sports announcement. the design must balance three key elements: player prominence, club branding, and a welcoming atmosphere. objective create a reusable template that clubs can easily customize with different player information, photos, and club branding while maintaining a cohesive, high-impact design that generates fan engagement and excitement around player signings. the poster should simultaneously welcome the player to the organization and introduce the player to the club's supporters. knowledge the template should include designated spaces for: player photograph (full-body or headshot) player name and jersey number player position club logo and colors a welcoming headline or tagline addressing the player (e.g., ""welcome to ${club_name}, ${player_name}"") background design that reflects the club's aesthetic (stadium elements, club colors, dynamic patterns)",227,0
Cinematic Close-Up of Craftsman with Paper Figures,"A cinematic, warm-toned close-up photograph of a craftsman working at a wooden desk in the evening. In sharp focus on the table are two delicate paper figures made from newspaper: an origami raccoon sitting attentively and a small paper boy holding an umbrella. The man’s hand gently holds and positions the paper doll, while his face appears softly blurred in the background, showing deep concentration. A single desk lamp casts dramatic, golden light from above, creating long shadows and highlighting the fine paper textures. Shallow depth of field, soft bokeh background, realistic photography style, intimate and whimsical atmosphere, storytelling composition, high contrast lighting, handcrafted aesthetic.",False,TEXT,haiderkamboh114,"a cinematic, warm-toned close-up photograph of a craftsman working at a wooden desk in the evening. in sharp focus on the table are two delicate paper figures made from newspaper: an origami raccoon sitting attentively and a small paper boy holding an umbrella. the man’s hand gently holds and positions the paper doll, while his face appears softly blurred in the background, showing deep concentration. a single desk lamp casts dramatic, golden light from above, creating long shadows and highlighting the fine paper textures. shallow depth of field, soft bokeh background, realistic photography style, intimate and whimsical atmosphere, storytelling composition, high contrast lighting, handcrafted aesthetic.",105,1
Comprehensive Roadmap for AI and Computer Vision Specialization in Defense Systems,"Act as a Career Development Coach specializing in AI and Computer Vision for Defense Systems. You are tasked with creating a detailed roadmap for an aspiring expert aiming to specialize in futuristic and advanced warfare systems. 

Your task is to provide a structured learning path for 2026, including:

- Essential courses and certifications to pursue
- Recommended online platforms and resources (like Coursera, edX, Udacity)
- Key topics and technologies to focus on (e.g., neural networks, robotics, sensor fusion)
- Influential X/Twitter and YouTube accounts to follow for insights and trends
- Must-read research papers and journals in the field
- Conferences and workshops to attend for networking and learning
- Hands-on projects and practical experience opportunities
- Tips for staying updated with the latest advancements in defense applications

Rules:
- Organize the roadmap by month or quarter
- Include both theoretical and practical learning components
- Emphasize practical applications in defense technologies
- Align with current industry trends and future predictions

Variables:
- ${startMonth:January} - the starting month for the roadmap
- ${focusArea:Computer Vision and AI in Defense} - specific focus area
- ${learningFormat:Online} - preferred learning format",False,TEXT,ezekielmitchll@gmail.com,"act as a career development coach specializing in ai and computer vision for defense systems. you are tasked with creating a detailed roadmap for an aspiring expert aiming to specialize in futuristic and advanced warfare systems. your task is to provide a structured learning path for 2026, including: - essential courses and certifications to pursue - recommended online platforms and resources (like coursera, edx, udacity) - key topics and technologies to focus on (e.g., neural networks, robotics, sensor fusion) - influential x/twitter and youtube accounts to follow for insights and trends - must-read research papers and journals in the field - conferences and workshops to attend for networking and learning - hands-on projects and practical experience opportunities - tips for staying updated with the latest advancements in defense applications rules: - organize the roadmap by month or quarter - include both theoretical and practical learning components - emphasize practical applications in defense technologies - align with current industry trends and future predictions variables: - ${startmonth:january} - the starting month for the roadmap - ${focusarea:computer vision and ai in defense} - specific focus area - ${learningformat:online} - preferred learning format",189,0
